A1,A3,A8,A9,A10,A11,A12,A14,A15,A2_0,A2_1,A2_2,A4_l,A4_u,A4_y,A6_aa,A6_c,A6_cc,A6_d,A6_e,A6_ff,A6_i,A6_j,A6_k,A6_m,A6_q,A6_r,A6_w,A6_x,A7_bb,A7_dd,A7_ff,A7_h,A7_j,A7_n,A7_o,A7_v,A7_z,A13_g,A13_p,A13_s,target
0.66144,-0.95661,-0.29108,0.95465,1.15714,-0.2881,-0.9192,0.10716,-0.19541,-0.70711,1.40961,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,-0.06608,3.1275,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,0.32249,-0.10831,-0.30008,1
-1.51186,-0.06005,0.24419,0.95465,1.15714,0.74083,-0.9192,-0.81691,-0.08785,-0.70711,-0.70941,1.41884,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,2.8011,-0.06608,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,2.0,-0.10831,-0.07636,-0.05392,-1.20283,-0.10831,0.32249,-0.10831,-0.30008,1
-1.51186,-0.8561,-0.21632,0.95465,-0.8642,-0.49389,-0.9192,0.56047,-0.03714,-0.70711,1.40961,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,2.8011,-0.06608,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,2.0,-0.10831,-0.07636,-0.05392,-1.20283,-0.10831,0.32249,-0.10831,-0.30008,1
0.66144,-0.64704,0.45651,0.95465,1.15714,0.53504,1.08791,-0.48564,-0.19484,-0.70711,1.40961,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,-0.06608,3.1275,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,0.32249,-0.10831,-0.30008,1
0.66144,0.17414,-0.15353,0.95465,-0.8642,-0.49389,-0.9192,-0.36941,-0.19541,1.41421,-0.70941,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,-0.06608,3.1275,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,-3.10087,-0.10831,3.33246,1
0.66144,-0.15252,0.08271,0.95465,-0.8642,-0.49389,1.08791,1.02541,-0.19541,-0.70711,1.40961,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,4.14221,-0.357,-0.06608,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,0.32249,-0.10831,-0.30008,1
0.66144,-0.74755,1.27885,0.95465,-0.8642,-0.49389,1.08791,-0.11369,5.81362,-0.70711,1.40961,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,15.13275,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,2.0,-0.10831,-0.07636,-0.05392,-1.20283,-0.10831,0.32249,-0.10831,-0.30008,1
-1.51186,1.37224,-0.65292,0.95465,-0.8642,-0.49389,-0.9192,-0.60188,0.06369,1.41421,-0.70941,-0.7048,-0.05392,0.56061,-0.55615,-0.29139,-0.51806,3.9786,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,-0.06608,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,0.32249,-0.10831,-0.30008,1
0.66144,-0.8561,0.5193,0.95465,-0.8642,-0.49389,-0.9192,-0.0207,-0.1351,-0.70711,-0.70941,1.41884,-0.05392,-1.78377,1.79809,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,3.53969,-0.24142,-0.357,-0.06608,-0.31974,-0.24142,-0.30578,-0.09366,-0.30008,2.0,-0.10831,-0.07636,-0.05392,-1.20283,-0.10831,0.32249,-0.10831,-0.30008,1
0.66144,0.03141,0.28157,0.95465,-0.8642,-0.49389,1.08791,-0.76461,0.08156,-0.70711,-0.70941,1.41884,-0.05392,-1.78377,1.79809,-0.29139,-0.51806,-0.25134,-0.2132,-0.19389,-0.28845,-0.30578,-0.12127,-0.28251,-0.24142,-0.357,-0.06608,3.1275,-0.24142,-0.30578,-0.09366,-0.30008,-0.5,-0.10831,-0.07636,-0.05392,0.83137,-0.10831,0.32249,-0.10831,-0.30008,1
